item_name,price,rated_count,old_price,rated,discount %
Classic  FASHION  DIGITAL MENS WRISTWATCH WATERPROOF SPORT WATCH,"₦ 4,999",2,"₦ 9,000",5,44%
"Keep Moving ""I Am King"" Iced Top Stylish Collection Of WristWatch + Iced Necklace,Ring & Bracelet For Women/Men","₦ 28,990",5,"₦ 30,000",3.6,3%
Silver And Gold Steel Children Wristwatch Kids Watch For Boys And Girls,"₦ 3,500",4,,4,
Pj Masks 24 Image Projector Wristwatch Toy For Boys And Girls,"₦ 4,500",10,"₦ 5,000",4.2,10%
UNISEX DIGITAL LED ELECTRONIC FASHION WRISTWATCH,"₦ 4,500",14,"₦ 9,000",3.9,50%
SPORT UNISEX MULTI FUNCTIONAL DIGITAL SPORT WRISTWATCH WITH NIGHT LIGHT,"₦ 4,999",4,"₦ 5,000",4.5,1%
UNIQUE UNISEX QUARTZ SPORT WRISTWATCH,"₦ 3,999",,"₦ 5,000",,20%
Silicone Women's Watch Mesh Watch Men's - Black,"₦ 4,100",7,"₦ 5,100",3.3,20%
Nepic High Quality Sophisticated Non Fading  Gold Chain Wristwatch + Bracelet,"₦ 18,999",14,"₦ 30,000",3.4,37%
Tervis Sophisticated & Awsome Dashing Exclusive Chain WristWatch For Men + Sophisticated Bracelet,"₦ 21,650",,"₦ 40,000",,46%
GT4 Pro Smartwatch 1.6“ 360*360 Wireless Charging NFC Business Watch 380 Large Battery,"₦ 44,442",2,"₦ 79,968",4.5,44%
Keep Moving Quality Water Resistance No Rusting Black Leather  Wristwatch,"₦ 18,500",11,"₦ 30,000",3.7,38%
2024 New Blood Lipids Uric Acid Blood Glucose Smart Watch Men ECG PPG Smartwatch Ultra Series 9,"₦ 95,297",1,"₦ 200,626",5,53%
Keep Moving Outstanding Sophisticated Diamond Iced Chain Wristwatch + Bracelet,"₦ 28,500",2,"₦ 40,000",4.5,29%
Geneva Forever Beautiful/Sparkling Ladies Complete Wristwatch/Jewelry Set For She Boss,"₦ 32,938",5,"₦ 409,000",3.8,92%
ONOLA Top Sophisticated & Super Stylish Black Leather Wristwatch/Cufflinks/Ring For Boss,"₦ 28,999",7,"₦ 30,000",4,3%
"Oulm Super Jagged Awesome Couples Chain WristWatch + Beautiful Couples Bracelets,Jewelry Set &Rings","₦ 46,999",1,"₦ 60,000",5,22%
Lookworld LEATHER UNISEX COUPLE WRISTWATCH,"₦ 16,514",,"₦ 25,000",,34%
CLASSIC DIGITAL LED BOYS AND GIRLS WRISTWATCH,"₦ 3,500",6,"₦ 4,000",4.5,13%
Silver & Gold Superior Quality & Non Fading Keeping Moving Silver/Gold Wristwatch & Wrist Set,"₦ 29,950",1,"₦ 320,500",4,91%
UNISEX DIGITAL LED SCREEN ELECTRONIC FASHION WRISTWATCH,"₦ 2,500",13,"₦ 4,000",4.1,38%
2024 Stainless Steel Smart Watch Ultra S9 Bluetooth Call NFC Wireless Charging GPS Waterproof Business Men Smartwatch For Apple IOS,"₦ 28,499",19,"₦ 76,348",4.1,63%
Very Awesome & Top-Notch Classic Couples Wrist Watch + Very Exotic Couples Bracelets,"₦ 35,999",1,"₦ 40,000",3,10%
Skmei Multifunction Digital & Analog Sports Watch,"₦ 21,900",15,"₦ 32,000",4.2,32%
ECG+PPG Bluetooth Call Smart Watch Men Blood Pressure Health Monitoring Sports Fitness Watch,"₦ 34,777",1,"₦ 73,214",4,53%
2 Piece Children Cartoon  Wristwatch For Boys And Girls,"₦ 4,500",14,"₦ 5,000",4.4,10%
2 IN 1 CHILDREN DIGITAL WATCH + CAMERA SET,"₦ 3,500",11,"₦ 4,000",4.5,13%
BUSINESS MENS WRISTWATCH WATERPROOF+ WALLET,"₦ 7,999",,"₦ 10,000",,20%
Nepic Quality Fashionable Non Fading/Non Rusting Silver Wristwatch + Bracelets,"₦ 24,000",1,"₦ 40,000",5,40%
Geneva Superior Quality Non Fading Ladies Mini-Ceramic Wristwatch & Jewelry Set,"₦ 35,555",1,"₦ 310,900",5,89%
Lookworld Beautifully Crested Non Fading Ladies Silver Wristwatch Set For Queens,"₦ 35,950",7,"₦ 42,000",4.7,14%
Keep Moving MEN HIP HOP SILVER WATCH & FULL ICED OUT NECKLACE & 1 ROW BRACELET SET,"₦ 34,900",,"₦ 60,000",,42%
2023 New NFC Smart Watch Men GT4 Pro AMOLED HD Screen Heart Rate Bluetooth Call IP68 Waterproof GPS SmartWatch For HUAWEI Xiaomi,"₦ 49,399",9,"₦ 110,440",4.3,55%
Forecast Unique No Fading/Non Rusting Quality Big Engine Silver Steel Wristwatch,"₦ 18,500",1,"₦ 40,000",3,54%
Forecast Super Decorative Sophisticated Dragon Rubber Designer Wristwatch For Real Men,"₦ 33,500",4,"₦ 50,000",4.5,33%
2024 New Blood Lipids Uric Acid Blood Glucose Smart Watch Men ECG PPG Smartwatch Ultra Series 9,"₦ 90,366",,"₦ 190,244",,53%
3 UNISEX DIGITAL LED ELECTRONIC FASHION WRISTWATCH,"₦ 4,999",3,"₦ 7,000",1.3,29%
